Layer,nPixels
1.0,731574.0
2.0,603714.0
3.0,516546.0
4.0,453785.0
5.0,406368.0
6.0,368909.0
7.0,338953.0
8.0,314211.0
9.0,293525.0
10.0,275916.0
11.0,260614.0
12.0,247278.0
13.0,235674.0
14.0,225131.0
15.0,215748.0
16.0,207214.0
17.0,199568.0
18.0,192587.0
19.0,186183.0
20.0,180196.0
21.0,174684.0
22.0,169587.0
23.0,164825.0
24.0,160391.0
25.0,156262.0
26.0,152385.0
27.0,148828.0
28.0,145317.0
29.0,142046.0
30.0,138817.0
31.0,135701.0
32.0,132543.0
33.0,129351.0
34.0,126067.0
35.0,122665.0
36.0,118947.0
37.0,114947.0
38.0,110608.0
39.0,105773.0
40.0,100524.0
41.0,94839.0
42.0,88763.0
43.0,82404.0
44.0,75566.0
45.0,68670.0
46.0,61667.0
47.0,54751.0
48.0,47964.0
49.0,41445.0
50.0,35362.0
51.0,29789.0
52.0,24629.0
53.0,20146.0
54.0,16271.0
55.0,12963.0
56.0,10306.0
57.0,7950.0
58.0,6023.0
59.0,4579.0
60.0,3437.0
61.0,2460.0
62.0,1788.0
63.0,1244.0
64.0,853.0
65.0,578.0
66.0,403.0
67.0,283.0
68.0,192.0
69.0,121.0
70.0,74.0
71.0,45.0
72.0,27.0
73.0,14.0
74.0,8.0
75.0,4.0
76.0,2.0
77.0,1.0
78.0,1.0
79.0,0.0
80.0,0.0
